,Text,Class
381, බෑනෙ මැටිබෝලෙ කරන්නගමේ කෙල්ලො ගැන හිතලා නොයා ඉන්නවා 😂✌🏽  අර නාඩගමේ රජාට ඇන්ද සීන් එක වෙන්නෙ නැත්තන් 🤭,Neutral
382, ගහමුපතා එකේ දවසක😁,Neutral
383,නංගි තරහ වෙලා කියහල්ලකො ඕක කෙල්ලට ආරංචි උනොත් කෙලින්ම නෑන පොඩ්ඩගෙ පැත්ත අරන් මාව බලයෙන් පහ කරනව කියහල්ලකො😌,Neutral
384,එක දවසක අපි නුපුරුදු සුවඳක හිත හෙමිහිට බැඳුනා අප හමුවුණු හිනැහුණු මතකය  සසර පුරුදු හැඟුණා  🖤🖤🖤 — feeling loved,Neutral
385, 😂😂😂😂 ආපු දවසක පෙනන,Neutral
386, 😂😂😂 මේකට මොනාට් උනොත් මං ආයෙ ටුයිටර් නෑහ් 😂🤘,Neutral
387, උදම්මිට පාරෙන් එන දවසක අනිවා එනවා ඔන්න,Neutral
388, මම හොයලා හිතලා නෑ ඇහෙන යමක් විතරයි,Neutral
389, ම්ම්ම්ම් බැරිවෙලාවත් සැන්ටා උනොත් මුලින්ම හොයලා දෙන්නේ ඔයාට එහෙනම් ☺️,Neutral
390,විද්‍යාත්මක ව හිතලා කාන්තා කටයුතු හා වියලි කලාප සංවර්ධන අමාත්‍යාංශය හැදුවා දැන් කාන්තාවන් ගේ වියලි කලාප සංවර්ධනය වෙයි මේම මේම,Neutral
391, වටයක් දෙකක් දාලා බැරිම උනොත් හිස් අතින් ෆිටෝන් එකට ගිහින් ආයේ වරෙන් 😂,Neutral
392,අනේ නිකන් ඉන්නව සංජු අක්කෙ 😂 ඔයාහෙ යිද ලිස්ට් එක 🙊🙊 ආයෙ හදන් නෑමයි මේකට මොනාහරි උනොත් 😂 ,Neutral
393, එහෙම උනොත් නම් ලොකු දෙයක් 😭♥️,Neutral
394, ඔව් ඉතින් දෙකක් හදලත් මෙහෙම උනානෙ මේකටත් එහෙම උනොත් ආයෙ හද න්නද  බෑනෙ,Neutral
395,සමහරු කතා කරන්නේ නිකන් ජනාධිපතිපති හිතලා කට්ටියව පත් කරනවා වගේනේ 😂😂😂  පව් අර අහිංසකයා 😁😂,Political
396, හා බායි එහෙනම් 😂 මොනාහරි උනොත් බායි කියන්න වෙන්නෙත් නෑනෙ 😂😂😂😂,Neutral
397, හහා 😂😂😂 එහෙමවත් සෙට් උනොත් තමා අපිට,Neutral
398,අර්ජුන් ඇලෝසියස් හදිසියේ අසනීප වෙයි  ඩෙංගුදැයි සැක  ,Neutral
399,අර්ජුන් ඇලෝසියස් හදිසියේ අසනීප වෙයි  ඩෙංගුදැයි සැක  ,Neutral
400, නෑ නෑ නෑ 😂😂😂 පරණ එක හදාගත්තොත් ඉන්නව මේකටත් ඒකම උනොත් එන්නෙ නෑ නෑ නෑ නෑ නෑ,Neutral
401,මම මේක නැති උනොත් ආයෙ ටුයිටර් එන්නෙ නෑ 😂 ,Neutral
402, හා එහෙනම් 😏 ආයෙ ඉතින් මේකත් නැති උනොත් නම් හදන්නෙ නෑමයි එකක් 😂 පරණ එක හරි ගියොත් නම් 😍😍😍😍😍😍😍😍😍😍,Neutral
403,මේකටත් මොනාහරි උනොත් ආයෙ ටුයිටර් එන්නෙ නෑ 😂👋,Neutral
404,  😂😂😂 මාත් දැම්මා එහෙම හිතලා,Neutral
405,අර්ජුන් ඇලෝසියස් හදිසියේ අසනීප වෙයි  ඩෙංගුදැයි සැක  ,Neutral
406,අර්ජුන් ඇලෝසියස් හදිසියේ අසනීප වෙයි  ඩෙංගුදැයි සැක  ,Neutral
407,    පබා අපි ආයෙම දවසක කතා කරමු,Neutral
408,සත්තයි දවසක ඔබ හඩනවා මම හඩන තරමටම,Neutral
409,අපි ආයේ ඒ ගැන දවසක කතා කරමු ,Neutral
410,  වැඩිම උනොත් ඇවිත් haha emoji එකක් දාල යාවි 😂😂,Neutral
411, ඔයා තමා වගකියන්න ඕනෙ ඔහොම කියල මට මොනාහරි උනොත් 😏😭,Neutral
412, ✋😂 දවසක හාද,Neutral
413,නුඹ නැතුව හිත හැදෙන් නෑ ළඟට ඇවිදින් අඬන් නෑ ලැබෙන දවසක ලැබෙනවා නම් සිතින් කිසිදින හැලෙන් නෑ සිතුවිලි,Neutral
414, එන්නේම නැති උනොත්,Neutral
415, බොහෝම ස්තූතියි අයේසෝ ඉක්මනට දවසක හම්බෙමු තිසූගෙන් කේක් ගන්නත් තියේ,Neutral
416, උඹ දැන් වැඩ කරන තනේ නැති උනොත් එහා තනට පැනපං ගොඩං වෙලාවට ඔව්වා එක වගේ 😂😂🤣,Neutral
417,🍃 අපි ආයෙත් හමු නොවුනා නම් ඉස්සර දවසක මියගිය සෙනෙහස  යලි ඉපදී මා හද හඬවන්නට අපි ආයෙත් හමු නොවුනා නම්🍂  සදාකාලිකනොවූලෝකේ,Neutral
418,  ආයේ ඒවා ගැන හිතලා හිත මෙව්වා කර ගන්න එපා,Neutral
419, එල එල නැත්තන් අපෙ අම්මලගෙ ගමේ එන දවසක මම එනවා ඔහේ😂😂😂,Neutral
420, අාහ් එහෙමද එල පස්සෙ දවසක සෙට් වෙමු එහෙනම්,Neutral
421, අගමැති උනොත් මට රස්සාවක් දෙන්න අක්කේ,Neutral
422, බැරිම උනොත් වරෙන් මෙහෙ ගහල කීයක් හරි හොයන් ජීවත් වෙමු මම කීවේ ෆොටෝ ගහල,Neutral
423, ඒ makeup කරන දේවල් නෙමෙඅනික මං makeup කරන්න දන්නේ නෑ 😂 වැඩිම උනොත් lipstick සහ eye liner පාවිච්චි කරයි 😂,Neutral
424, හම්මේ ඉතින් 😂👊 මේ මාසෙ ෆුල් බිසී නසියරේ හම්බවෙමුකො දවසක 🖤,Neutral
425, දවසක එන්නම් බීලා යන්න 🍻,Neutral
426, අපි හිතලා ඒක කරලා දෙමු අකැමැති වෙන්න දෙයක් නෑ අපි දෙන්නට කැමතියිනේ 😏,Neutral
427,  කෝමත් දවසක මීට් වෙමුකෝ 😊,Neutral
428, තවමනෑ ඉස්සරහට නැති උනොත් කියන්නම්කො,Neutral
429,  සස් පෙන් අනේ ඇන්ටිගේ යාලුවෙක් උනොත් කියල කියන්නෙ 😂,Neutral
430,  මොන පෙන් උනොත් ,Neutral
431,අහල පහල ගෙදරකින් රතුමකරාFM එකේ ඔටෝ ප්ලේ යන සිංදු වගේ සෙට් එකක් ඇහෙනවා 🤔 සැක සහිතයි,Neutral
432,  ඔය රිප්ලයි එක මකාං යකෝ බඩු බනිස්වෙයි ඉංගිරිසියෙන් ප්‍රොනව්න්ස් උනාට අකුරු සිංහල උනොත් කේස්,Neutral
433,මාගේ දෑස දෙස බලනු මෙතැන් පටන් ඔබ ඇසිපිය ගහන්නෙ හිතින් හිතලා,Neutral
434,අපෙ ගෙවල් පැත්ත අරාබිය වගෙ උනාට මෙ ලගදි දවසක රුවැති යුවැතියක් පැමිනියා  අම්මො අම්මො,Neutral
435,ජිම් යන එකට් එපා වෙලා තියෙන්නෙ කිලෝ දෙකක් වැඩි උනොත් ඊලග සතියෙ කිලෝ තුනක් අඩු වෙනවා😑,Neutral
436,හින්ගුරගෝඩාවේ පුද්ගලයෙක් තෙරෝ දේශපාලනයෙන් විශ්‍රාම ගන්නා ලෙස ඉල්ලා උපවාසයක යෙදී සිටී,Racist
437,ලෝගන් කෝ සුඛියා කෝ අරූ කෝ මු කෝ කියලා අහන උන් තමා කවදාහරි බැන්ඳ දවසක ගෑණි කෝ කියලා හොයන්නේ 🙄,Neutral
438,හොයලා හොයලා කොල්ලෙක් හොයා ගන්නම බැරි උනොත් මම හම්සව බදිනවා,Neutral
440,දත් දොස්තර කෝ මගෙ වෙඩිමට පරක්කු වෙනවා,Neutral
441,බීලා මාට්ටු උනොත් වල් අලි ගහනවා යකෝ 😂,Neutral
442,උඹල මෙහෙම සබ් ගහනවා කියලා දන්නවනම් මම දවසක් පරක්කු⁣ වෙලා ඉපදෙනවා   මීට චෙත්‍යා,Neutral
443, මම සැක කලා   ඒ දරුවා මුල සිටම මං ගැන අමනාපෙන් හිටියේ ඉතින් මමත් ඒ වගේ අය පැත්තකට කරලා නොසොයා හිටියේ ඒකයි එක පාර මතක නැති උනේ  හැබැයි එයාගේ බුදු ෆිට් ලිස්ට් එකේ ඔයත් හිටියද කීයටවත් වෙන්න බෑ,Neutral
444,ඉරාකය ඇෆ්ගනිස්ථානය පකිස්ථානය සිරියාව ලිබියාව සහ තවත් රටවල් වල ලමයි ජනතාව මරනව live බලව් හිටපු ඔබාමා නියම පාලකයෙක්ලු  Check out ’s Tweet ,Neutral
445,සිංගප්පූරුව දියුණු කරපු මිනිහා වැඩ පටං ගත්තේ මෙන්න මෙහෙමයි ඒයා ලඟ තිබුනේ කාරණා තුනයි උවමනාව කැපවීම සහ හැකියාව   රටවල් දියුණු කරන්න දේශපාලන experience අනිවාර්ය නෑ lka GR ,Neutral
446,ඉරාකය ඇෆ්ගනිස්ථානය පකිස්ථානය සිරියාව ලිබියාව සහ තවත් රටවල් වල ලමයි ජනතාව මරනව live බලව් හිටපු ඔබාමා නියම පාලකයෙක්ලු  ළමයි මැරුවට මොකද නත්තලට ළමයින්ට බඩු බෙදුවනේ🎅🎅🎅 මේව රඟපෑම් එහෙම නෙමෙයි හොඳෙ ,Neutral
447, දන්නේ නෑ මෙයා සුද්දා ගල විද්ද නිසා තමයි අපි යාන්තම් කොළඹ හරි යන්නේ නුවර අපිට එහෙම මහලොකු දැනුමක් නැහැ ඒකයි ඇත්ත අනිත් රටවල් වලත් එහෙමද කියන්න එහේ යන්න තියා ඉන්ටර්නෙට් එකේ සර්ච් කරලා ඒ දේවල් බලන්නවත් අපිට ඉංග්‍රීසි දන්නේ නෑ 😢,Neutral
448,lt මගේ ආදරේ තවමත් ඒ වගේ සොදුරු කතාවක් වගේ නුබේ හීනයේ දැවටී එදා වගේ ඉන්න ආසයි තවමත් හිතේ  දවසක නුබ හා මේ ගී පද ගැලපු  තනුවක් වාගේ නුබ මට මියුරු  එන මග සරසා නුබ යනවිට තනිවූ  දවසක් ඒවිද ආයෙත් නුබ මට හිමි වූ lt ,Neutral
449,                                                 මේ ගිවිසුම හරහා අපේ රටේ සේවා ටික සිංගප්පූරුවට පමණක් නොවෙයි පාවලා දීලා තිබෙන්නේ ඉන්දියාව චීනය මැලේසියාව කියන රටවල් හමුවේ පාවලා දීලා තිබෙනවා  අපේ රට සුද්දාට විතරයි යටත් වුණේ නමුත් ලෝකයේ සියලු රටවල් හමුවේ අපිව පාවා දීලා ඉවරයි මේ  ,Neutral
450,වැරදි දැක්කත් ඒවා ප්‍රසිද්ධ කරලා තමන්ගෙ ආගම ගැන තියන වටිනාකමබක්තිය අන්ආගමිකයන් ඉස්සරා නැති කර ගන්නෙ නෑඅපිට හිතන්න සෑහෙන්න දේවල් තියෙනවා රැඩිකල් විදිහට හිතලා ටෑටු එකක් සාධාරණීකරනය කරන්න කලින්,Religion
451,එන්න දවසක ඇවිත් මගෙ හදවතත් මෙගා පික්සල් බිලියන විසිහතරදාකට කඩල සූම් කරල බලන්න ඒ හැම කොන්ටම් අංශුවකම ආදරේ තියේවි ඔයාගෙ නමින් ලියවිලා හැමදාටම  ❤️  යෝයෝ බොබී,Neutral
452,ඔයාටත් ඉන්නවද  පාරෙ යද්දි අඳුරන අය ඉස්සරහට එද්දි අත අතාරින   ඔයා එයාගෙ යාලුවෙක් විතරයි කියලා හැමෝටම කියලා තියන   හැම තිස්සෙම නිදහසට කාරණා කිය කිය කාර්‍යබහුල බව අඟවන ඒත් online ඉන්න  හැම දේටම බොරුවට සැක කරන හේතු හදාගෙන තරහ වෙන   කෙනෙක් 😔😔,Neutral
453,මේම පැටලැවිල්ලක් උනොත් තමා අපිට කෝල් එන්නේ නැත්තම් කොල් කරන්නේ අර dialog එකෙන් බූට් සින්දු call a tune දාගන්න කියන කෝල් එක තමා😂😂 ,Neutral
454,අතීතයට ගිහින් දේවල් වෙනස් කරනවා කියන මිත්‍යාව මිත්‍යාවක් ලෙසටම හැමදාම තියෙනවනම් හොඳයි අනාගතයක් කියලා දෙයක් නැත්තටම නැති වෙන්න පුලුවන් එහෙම උනොත්,Neutral
455,ගෙදරින් පිට බෝඩිං වල ඉන්නකොට ගෙදර වෙන කිසිම අවුලක් තාත්තා මට කියන්නෙ නෑ වෙන අයට කියන්න දෙන්නෙත් නෑ අම්මා මොකක් හරි කියන්න යනකොට පැනලා ඒක නවත්තනවා  ඒ මම ඒවා හිතට අරන් ඔළුවට වදයක් කරගනී කියලා හිතලා ලු  තාත්තලාගෙ ආදරේ හරි වෙනස් ගැඹුරුයි සමහරවිට තේරුම්ගන්නත් අමාරුයි 😌❤️,Neutral
456,මට ජිවිතේ කවදාකවත් නුවර යන්න හේතුවක් ඕනි වුණේ නෑ දළදා මාලිගාව ඉස්සරහින් වැව දිගේ යද්දී  මාලිගාවෙන් එන සුවද  ඒ මගුල්බෙර වාදනය නිසා හිතට පුදුම සැහැල්ලුවක් දැනෙන්නේ මේ අවුරුදු ගානටම සෙරෙප්පු දෙක හිතලා ගලවනවා නෙවෙයි  කකුල් වලින් සෙරෙප්පු දෙක ගැලවෙනවා ශ්‍රී දන්ත ධාතුව 👇,Religion
457,‌සමහර එවුන් මේකට එන්නෙම කෙනෙක් කරන වැඩේ නතර කරලා මොකක් හරි පොර ටෝක් එකක් දීලා යන්න උන් කරන්නෙත් නෑ කරන එවුන්ට කරන්න දෙන්නෙත් නෑ ඕකුන් තමයි කවදාහරි බැන්ද දවසක පලමු රාත්‍රීයේ යාලුවන්ට කෝල් කර කර  ඒ මචන් මොකෝ බං මං දැන් කරන්න ඕන නිදාගත්තට කමක් නැද්ද  කිය කිය ඇඩ්වයිස් ගන්නේ 😅,Neutral
458,ජනපතිගේ බලතල අඩුකරනසේ මාරයා    වර්ධරාජා පෙරැමල් ඊළාම් රාජ්‍යයක් ප්‍රකාශයට පත්කල විට ප්‍රේමදාස ජනපති වහාම පලාත් සභාව විසරැවා හැරිමෙන් උතුරේ ඊළම් රාජ්‍යය එදා වැළකුනා  අද න් ජනපතිගේ බලතල කප්පාදුවක් සිදු උනොත් රට ජාතියට සිදුවන බරපතල වරද යලි හදනු බෑ පිහිට වූ ඊළම යලි ගනුත් බෑ🤔,Racist
459, අපාරාදෙ කියන්නෙ බැ මෙකෙ ඉන්න මිනිසුන් කවද හරි දවසක් ඔය  administer role එකක්කරොත් තමන්ගේ service ගන්න පුද්ගලයෙක් අසාධාරණයක් උනොත් පිලිසරණ ක් නැ මොලෙ පරිණත වෙලානැ එකතාමා  අවුල,Neutral
460,දුම්රියේ යන කට්ටියගෙන් මෙච්චර කල් කිසි උදව්වක් ඉල්ලලා නෑ මංඅද පොඩි උදව්වක් ඉල්ලන්න කල්පනා කරා   Train ඇප් එකට Vote කරලා උදව්වක් කරන්නහැමදාම පරක්කු වෙන කෝච්චිය ගැන Update ගන්නවා වගේම සේවය ලබාගත් ,Neutral
461, යකෝ කවුරු හරි මුල්වෙලා එහෙම දෙයක් කරන නිසයි එන්න බැරි වුනත් මුන්ටික ආතල් එකක් ගන්නවා නේද කියලා හිතලා හරි සතුටුවෙන්නේ අහක ඉන්න වේස නරි එක එක ඒවා කිව්වා කියලා උඹලා කරන වැඩ නවත්තන්න හිතනවා නං මට කියන්න තියෙන්නේ අනේ මංදා කියලා තමා රනුක 😑,Neutral
462,හිතෙන විකාර ට්වීට් කරලා හැමදාම දැම්මා ඒකෙ චුට්ටං හරි ආර්ට් එකක් දැකලා  ජොබ්එකගාවගමු කියලා හිතලා  අක්කා ලියන්න උදව්කරා ඇයි අනිත් අයටත් ඒ වගේ හොඳ විදිහට අනිත් අයට උදව්කරන්න බැරි,Neutral
463,එයා කිවුවා කැටයක් අරගෙන හැමදාම ඒකට රුපියක් දහය ගානේ හරි ඊට වැඩියෙන් හරි දාන්න කියලා හොද දෙයක් වෙනුවෙන් කිවුවාදවසක ආයෙත් මගේ ලගට එනවා කිවුවා හේතුවත් අරගෙනම මොකක්ද ඒ මාරම පස්නයක් ඒක 🧐🧐🧐🧐🧐🧐🧐🧐 දැවෙනප්‍රශ්න,Neutral
464,ශ්‍රී ලංකාවේ මුස්ලිම්වරුන් යක්ෂයින් කිරීම පිළිබඳව එක්සත් ජනපදය සැලකිලිමත් විය,Racist
465,Naththal Awa  Latha Walpola and Eranga Lanka  නත්තල් ආවා ආවා ආවා ජේසු බිලිඳු ආවා  උඳුවප් මාසේ සීතල දවසක මැදියම් රෑ යාමේ  බෙත්ලෙහෙමේ පුංචි ගවලෙනේ ජේසු උපත වූයේ  සාමයේ අරුණලු දසත පැතිර ගියේ  නත්තලේ අපි ,Religion
466,ලෝගා දාපු එක ඩුප්ලිකේට් ගහන්නත් හිතලා ආයේ අතෑරියා සයිබර් බුලින් කරලා රස්සාව නැති කරගන්න බෑ ලෝගව රිපෝර්ට් කලා හේට් ස්පීච් කියලා වෙලාවට ඌ රිපෝර්ට් කරන විදිහ කලින් කියලා තිබුනේ 😂,Neutral
468,එතකොට බැරිවෙලාවත් ඒකාබද්ධෙන් ආන්ඩුව පිහිටවලා තිබිලා ඒකට unp එකෙන් කවුරු හරි පැන්නොත් ඇමතිකම් දෙනවා  හැබැයි   Unp එකෙන් ආන්ඩු පිහිටවලා ඒකට ඒකාබද්දේ හෝ නිදහස් පක්ශේ කවුරු හරි unp එක එක්කලා එක්කහු උනොත් එතකොට ඇමතිකම් නෑ  මෛත්‍රිපාලගෙත් තියෙන්නේ ටෞකණ තියරි බොල 🤭🤔,Neutral
469, ගල් ගොඩ උඩ ඉන්න ඇච්චා 😂👋,Neutral
470,සාරංශය අායුෂ කෙටියි  වැඩිය  උඩ පනින කෑැැගහන දගලන කාට කාටත්ඔන්න කිව්වා🧐🤔🧐 ,Neutral
471,පාරෙ යන මිනිස්සු මං දිහා බල බල යනවමොකක් හරි අවුලක්වත්ද මගෙ😲😧,Neutral
472, උඩ යන්න එපා😏,Neutral
473, අපි හිටපු විදිහේ මොකක් මතක් වෙන්නද බං  එදත් පිස්සු කෙලිය අදත් එහෙම තමා 😉උබ දැන් ඉන්න විදිහ හොදයි ,Neutral
474, ඒ කියන්නෙ ඕන කෙනෙක් සදුන් ගැන දන්නව😂,Neutral
475,   මම ඉතිං උඩ abroad ඉන්නේ 😂,Neutral
476,ඔය මොකක් හරි එකක් දාල කියල කියන්න😁🙏 ,Neutral
477, අනේ එතකොට නම් උඩ බිම ඉන්න බැහැ රශ්නය නිසාතව ජර්සී දැම්මොත් හොදට තියේ😂😂,Neutral
478,ඕනෑවට වඩා උඩ තැබීමෙන් වලකින්න බිමට බහින්නට බැරිවිය හැක,Neutral
479, මොකක් 🤔🤔😂,Neutral
480, මේසෙ උඩ තියන පෝන් එක දැක්ක 😒😒😒😒,Neutral
481,ඇච්චා කලේ ඉඳලම ගල් උඩ තමා 😂👋😂👋 ,Neutral
482, දන්නව😂😂,Neutral
483, එයාට මොකක් දැම්මත් ලයික්ස් රිප්ලයිස් ඉරිසියයිත් එක්ක 😩,Neutral
484, ඔව්නැත්නම් ඔවුන් උඩ යනවා තවත්,Neutral
485, බංගි උඩ බලන් බුරනවා 😁 ඒක ඊට වඩා වදේ එතකොට,Neutral
486,  PS නං Wine උඩ වැඩ අවුලක් නැතුව,Neutral
487, මොකක්,Neutral
488,  සිරාවටම බං උඩ යනවනං කොහොම උඩින් යන්න ඕනේ කෙනෙක්ද නේ 💪🏽😉😊,Neutral
489, ඇයි සැක නම් මොකක් කරන්නද,Neutral
490,ගිය ආත්මෙ පුරුද්දට එක උඩ එක ගල් තියලා ලෙවල් බටෙන් ලෙවල් කළා නම් හරි 😂🔫 ,Neutral
491,මිනිසා හඳට ගියාලූ මිනිසා පුදුම උනාලූ බිම බැලුවාලූ උඩ බැලුවාලූ මිනිසා හඳට ගියාලූ  sajje lka,Neutral
492, දන්නව මෙයා කෙල්ලෙක්ට කෙල්ලෙක් බෝල් කරන්ඩෝනෙ ඒත් ඉතින් පැපී බෝල් කරන්නෙ අමිත් මාලින්ගගෙ ආවේසෙන් කියල ඔයල දැනගෙන ඉන්න ඕනෙ 🤦,sports
493,🤣😂😂 අපේ එවුන් නම් මොකක් හරි රෙද්දක් අල්ලගෙන මැරෙයි 🤣🤣🤣🔫 ,Neutral
494, අපි දන්නව😏,Neutral
495,Ps උඩින් දාපු පොලිතින් එක ඉරිලා ගිහින් ඒ හින්දා අල්පෙනිති උඩ මලකඩ කාලා හදපු දවස් වල තිබ්බ ගතිය නැතුව ගිහින්,Neutral
496,  මේ ඉවෝට කවුරු හරි වතුර ටිකක් ඉහින්න පීස් මෙයා නැති උනොත් ලස්සන මියුසික් අහලත් ඉවරයි ඔව් ඔව් උඩ යවන්න කිව්වෙ 🙊,Neutral
497,උඩ ඉන්නෙ 😂👋 ,Neutral
498, අහ් අයියේ ක්‍රිකට් කියන්නේ කෙල්ලො ගොඩක් දාගෙන ඇඳ උඩ කරන එකක් නෙවෙයි 😂😂,sports
499,මෙයාලා මේ කියන්නෙ ක්‍රිකට් ගහන එක ගැනද කෙල්ලො  නම් ම්ම්ම්ම් ඒත් අන්තිමට අර කොල්ලට මොකක් වෙයිද 😂😂🏃🔪 TCLSLමඩ ,sports
500,     ම්ම්ම්ම් ටොස් එක 😂😂 ලෝගා නේද කාසිය උඩ දාන්නේ,Neutral
501, බංගි මොකක් කියලද බැන්නෙ ඔයාට🤭,Neutral
502,I liked a  video  දඹුල්ලෙන් උඩ ගිය වායු බැලුනයක්,Neutral
503, මොකක්🤨,Neutral
504, ඔයා Match එක එන්නේ නෑ මොකක් උනත් 🤪🤪🤪,Neutral
505,  දන්නව මචං කියල වැඩක් නැතිනිසා කටවහන් ඉන්න ව ඉතින්,Neutral
506, හම්මො 😂😂😂😂😂  ඒකත් කමක් නෑ කියමු කාසි වෙනුවට පැපීව උඩ දාන්න ඔට්ටු නෑ 🤭,Neutral
507, හුම්ම්ම් උං උඩයන්න උඩ යන්න අපිටයි අමාරු,Neutral
508, ඔහොම තමයි උඩ තට්ටුව කුලියට දුන්නම,Neutral
509, පැපී දැන් මාතරඅහසඋඩ,Neutral
510, රිදිච්ච උන් ටීම් එකේ නම නැතුවම උඩ පනිනවා බං බලපං 🙊🙊🙊,Neutral
511, මොකක් ගැනද බං කියවන්නේ,Neutral
512, මොකක්,Neutral
513, උඩ පොඩි සිපයියෙක් පෝම් වෙලා ගනන් ගන්න එපා,Neutral
514,I liked a  video  දඹුල්ලෙන් උඩ ගිය වායු බැලුනයක්,Neutral
515,TL එකේ උඩ පහල යද්දි බුටක් කාපු කෙල්ලක් ගේ අදෝනාවක් වරදින්නේ නැ 😃,Neutral
516, මොකක් කිව්වා 😠😠 ඩැෆ්නිට පස්සෙ මගෙ crush එක මෙයා 😂,Neutral
517, උඩ එකාද,Neutral
518,    හ්ම්ම් අන්න එයා ගං වතුර වෙලාවේ උඩ තට්ට්ටුවේ ඉන්නේ නැතුව ඔයාලාගේ ආපු කෙනා 🤣🤣🤣,Neutral
519, මොකක්,Neutral
520, මං උඩ😂😂🔫,Neutral
521, උබේ මොකක් දිගේ😂,Neutral
522, මොකක් ද මොකක් ද අැත්තට හෙට😁😁😁,Neutral
523, මොකක් කියලද කිව්වෙ 😂,Neutral
524, අපි ඒමයි මල්ලි යවනකොට යවනවා හොයාගන්න බැරි වෙන්ඩම උඩ,Neutral
525,ආතල්මල්ලි මොකක් පදනම් කරගෙනද මෙ🤔,Neutral
526, හම්සයි ඔයයි තමා උඩ යැව්වෙ,Neutral
527, මිදි තිත්ත උඩ පැනල ඉවර උනාමනෙ,Neutral
528,   මෙතන මොකක් නමුත් ලොකු දෙයක් සිද්ධ වෙලා තියෙනෝ,Neutral
529,නෑ නෑ මම බෝනික්කියෙක් නෙවෙයි🙊🙊😂   උඩ යැවීමට ලක් වූ පසු ට්වීට් කරන ලද්දකි😂😂😂,Neutral
530,  මොකක්,Neutral
531,  එතකොට සුකියා ඇවිත් ආයෙ උඩ යවනවනෙ,Neutral
532,  ඒ උනාට අන්න කෙල්ලොන්ට බනිනව කොල්ලො පස්සෙන් ආවට උඩ යන්න එපාලු ඉල්ලුම වැඩි බාල බඩු වලටලු🤦🏼‍♀️🤦🏼‍♀️😂,Neutral
533, හ්ම්ම්ම් දැක්කා එක දැන් ඩිලිට් නේ අඩේ ඔකා එක්ක හුරතල් වෙන්න තරම් මට මොකක් හරි මානසික අවුලක් තියෙනවා වගේ පේනවා ද🤔🤔,Neutral
534, මොකක් 😂,Neutral
535, මං දන්නව මමත් එක්කෙනෙක් කියල අක්කෙ🤗,Neutral
536,ලබ්බට කෝටු ගහපු පඩරැලක් හරි ලස්සනට පේන ගොං හුත්තලා ඉන්නකන්  ලංකාවෙ ඉන්න ඕන ගොං බඩුවක් මේකප් ටිකක් උලාගෙන උඩ යයි🤢  නොදකිං ආතල්මල්ලි,Sexism
537,ඊයේ මේ පැත්තට එන්න බැරි වුනා මොකක් හරි ක්‍රිකට් සීන් එකක් වුනාද  අපේ එවුන් ටුවර් එකක් වත් දිනලද  මොකක්ද අර ඉමේජ් සීන් එක  🤔,sports
538,  මොකක් 😭 නෑ අරක හොඳයි 😏,Neutral
539,  උඩ යන්න කවකටු පෙට්ටි උඩගියේ මොන ලෝකෙද මොන කාලෙද 😂😂😂,Neutral
540,  අම්මෝහ් 😂 බිම වැටුණත් උඩ යන් නෑමයි අයියෙ 😌😂😂😂😂😂😂,Neutral
541,  පුටුවට තියලා බැදගන්න අමානැත්තන් උඩ ගියොත් මාර අව්ල 😂,Neutral
542, අඩෝ උඩ කොනේ ඉන්නවා දැක්කේ දැන් 😂,Neutral
543,අඩෝ අයියේ ඊයේ රත්නපුරේ ත්‍රීවිල් එකක චූටික්කි කියලා ගහලා තිබ්බා පහත් ටුවීටයට අදාලව  මන් දැන් උඩ ,Neutral
544, ඕය ලිස්ට් එකෙන් දෙන්නෙක්ව නම් දන්නව උන් මරු චරිත,Neutral
545,මොකක් හරි පොස්ට් එකක් හදලා හෙනගහනන  කියලා සෙයා කරාම ඇත්තටම  හෙනවදිනවද,Neutral
546,  ෆීල් කරා මොකක් 🌚,Neutral
547,මොකක් හරි හේතුවක් හින්ඳා අමුඩේ අමතක වෙලා තිබීයන්  ,Neutral
548,ගෙදර වහල උඩ රිලව් දඟලනවා අම්මා පුතේ රිලව් ඇවිත් මම දැන් මම මොකද්ද කරන්න ඕන අම්මා පොඩ්ඩක් ඉස්සරහට ගිහින් බලන්නකො මම ඇයි හායි කියන්නද,Neutral
549,සමහර එවුන් ට්‍රැවල් කිය කියා බොරුවට දඟල දඟල යන්නේ මොකක් හරි වඩිග පටුනක් නටලා ඇඳන් යන එකයි කන්න අරන් යන එකයි එතනම කරන එකක් කරලා දාලා එන්න තමා  අනේ හු උන්ගේ ට්‍රැවල් 😎🖕 ,Neutral
550,  ඔයිල් නැත ඔය එකී මෙකී සියල්ලම පරීක්ෂා කර බැලුව බං කොරන්නම දෙයක් නැති තැන තමා පටවන් අවෙ ඒකයි මට හිතුනෙ එන්ජිමට කෙලවිලාම ඇති කියල අනික ඔය කියන වෙලාවෙ මම අධික වේගයෙන් රිය ධවනය කලා සමහර විට එන්ජිමට  නවතින්න ඕනෙ උනත් නවතින්න නැතිව ඇති තියන සබ්බ සකලමනාවම ඇඹරිලා හිටිනකම්ම,Neutral
