"En,sinhala"
"constructor,ඉදි කරන්නා "
"construe,වටහා ගන්නවා "
"construer,තේරුම්ගන්නා"
"consubstantial,එකම භූතයකුට අයත් "
"consubstantiality,සත්ප්‍රසාදයේ පූපවල සහ වයින්වල ක්‍රිස්තු කය සැබවින්ම ඇති බව"
"consubstantiation,සත්ප්‍රසාදයේ පූප හා වයින්වල යේසුස්වහන්සේගේ සිරුර හා රුධිරය ඇතැයි යන මතය"
"consul-general,මහා ප්‍රදූතයා"
"consul,කොන්සල්වරයා "
"consular invoice,කොන්සල් ඉන්වොයිසිය "
"consular ship,කොන්සල් ධූරය "
"consular,කොන්සල් පිළිබඳ "
"consulate,කොන්සල්ගේ කාර්යාලය "
"consuls,කොන්සල්වරු "
"consult,‍තොරතුරු උපදෙස් විමසා බලනවා "
"consultancy,උපදේශක සේවය "
"consultant,උපදේශකයා"
"consultation,උපදෙස් ලබාගැනීම "
"consultative,උපදේශක"
"consultee,උපදෙස් ලබාගන්නා "
"consulter,උපදේශක"
"consulting,උපදෙස් දෙන"
"consumable,පරිභෝජනීය "
"consume,කනවා බොනවා "
"consumed,ක්ෂය වූ "
"consumer,පරිභෝජකයා "
"consuming,ගෙවන "
"consummate,සම්පූර්ණ කරනවා "
"consummately,සම්පූර්ණයෙන්ම "
"consummation,සමාප්තිය "
"consumption,පරිභෝජනය "
"consumptive,ක්ෂය වීමට තුඩු දෙන "
"contact sport,සහභාගිවන්නන් ස්පර්ශ විය යුතු ගැටිය යුතු ක්‍රීඩාව"
"contact-breaker,ස්පර්ශභංජකය "
"contact,ස්පර්ශය "
"contactable,සම්බන්ධ විය හැකි "
"contactor,ස්පර්ශත්‍රිය "
"contagion,ස්පර්ශයෙන් ලෙඩ බෝවීම "
"contagious,ස්පර්ශයෙන් ලෙඩ කරන "
"contain,දරා සිටිනවා "
"containable,අඩංගු කළ හැකි "
"contained,අඩංගු "
"container,භාජනය "
"containerise,බහාලුවල දමනවා "
"containerization,බහාලූවල දැමීම"
"containerize,බහාලුවල දමනවා "
"containment,ඉවසීම "
"contaminant,අපවිත්‍ර කාරකය "
"contaminate,අපවිත්‍ර කරනවා "
"contaminated,අපවිත්‍ර "
"contamination,අපවිත්‍රනය "
"contaminative,අපවිත්‍ර වන "
"contemn,අවමන් කරනවා "
"contemplate,කල්පනා කර බලනවා "
"contemplated,කල්පනා කර බැලූ "
"contemplating,කල්පනා කර බලන "
"contemplation,කල්පනාව "
"contemplative,කල්පනා කර බලන සුලු "
"contemporaneity,සමකාලීනත්වය"
"contemporaneous,සමකාලීන "
"contemporary,වර්තමාන "
"contemporizing,සමකාලීන කරනවා "
"contempt,පිළිකුල "
"contemptible,පිළිකුල් කළ යුතු "
"contemptuous,පිළිකුල් කරන "
"contemptuously,අවමානයෙන් යුතුව "
"contend,තරඟ කරනවා "
"contended,තරඟ කළ "
"contender,තරඟ වඳින්නා"
"contending,සටන් කරන "
"content,තෘප්තිමත් "
"contented,තෘප්තිමත් වූ "
"contention,සටන "
"contentious,මත භේදයට තුඩු දෙන "
"contentment,සන්තෘෂ්ටිය "
"contents,අඩංගු දේ "
"conterminous,එකම මායිමක් ඇති"
"contest,තරඟය "
"contestant,තරඟ කරු"
"contested,තරඟ කළ "
"contester,තරඟකරුවා "
"context,සන්දර්භය "
"contextual,සන්දර්භානුගත"
"contextualize,සන්දර්භය තුළ බහනවා "
"contiguity,සන්නිධිය "
"contiguous,යාබද "
"continence,සංයමය "
"continent,දැමුණු "
"continental,මහාද්වීප පිළිබඳ "
"contingence,ස්පර්ශය "
"contingency,අහඹුව "
"contingent,අවිනිශ්චිත "
"continual,අඛණ්ඩ "
"continually,අඛණ්ඩව එක දිගට "
"continuance,නිරන්තරය "
"continuant,අවිච්ඡින්නය"
"continuation,පවත්වා ගෙන යාම "
"continue,දිගට කර ගෙන යනවා "
"continued,නොනවත්වා ගෙනගිය "
"continuing,නොනවත්වා කරගෙන යන"
"continuity,අඛණ්ඩතාව "
"continuous,අඛණ්ඩ "
"continuously,අඛණ්ඩව "
"continuum,අඛණ්ඩතාව "
"contort,ඇඹරෙනවා "
"contorted,ඇඹරූ "
"contortion,ඇඹරීම "
"contortionist,විකෘති හෝ විකාර හැඩගෙන විනෝද කරන්නා "
"contour,ආකෘතිය "
"contouring,සමෝච්චකරණය"
"contours,සමෝච්ච"
"contra-gradient,ප්‍රත්‍යනුක්‍රමණය"
"contra-positive,පරස්ථාපී "
"contra,ප්‍රති විරුද්ධ "
"contraband,ආනයනය හෝ අපනයනය සඳහා තහනම් කළ බඩු "
"contrabandist,හොරබඩු ජාවාරම්කාරයා"
"contraception,ඕනෑකමින් උපත් වැළැක්වීම "
"contraceptive,උපත් පාලක "
"contract,ගිවිසුම "
"contractable,සංකෝචනය කළ හැකි"
"contracted,සංකෝචනය කළ "
"contractible,කොට කළ හැකි "
"contractile,සංකෝචනය කළ හැකි"
"contractility,සංකෝචනතාව"
"contracting,පොරොන්දු ඇතිකර ගැනිම"
"contraction,සංකෝචනය "
"contractor,කොන්තරාත්කරුවා"
"contractual,ගිවිසුම පරිදි "
"contradict,යමක් එසේ නොවේය කියනවා "
"contradictable,විරුද්ධ විය හැකි "
"contradiction,විසංවාදය "
"contradictive,විසංවාදී වූ "
"contradictory,විසංවාදය "
"contradistinction,සැසඳීමෙන් වෙනස දැක්වීම "
"contradistinctive,හාත්පසින් වෙනස් කරන"
"contradistinguish,සැසඳීමෙන් වෙන් කර ගන්නවා "
"contraflow,වාහන තදබදයක දී වාහන ගැලීම තාවකාලිකව වෙනස් කිරීම "
"contraindication,ඖෂධයක් හානිකර බව දැක්වීම"
"contralto,පහත්ම ස්ත්‍රී ගායන ස්වරය"
"contraposition,අසමානකම "
"contrapositive,පරස්ථාපී"
"contraption,යන්ත්‍රයක් හෝ මෙවලමක් "
"contrapuntal,ප්‍රතිසංවාදිත "
"contraries,ප්‍රත්‍යනීක නැතහොත් පටහැනි දේ"
"contrariety,ප්‍රත්‍යනීතතාව "
"contrariness,මුරණ්ඩුකම "
"contrariwise,අනෙක් අතට"
"contrary flexure,ප්‍රතීග ආනමනය"
"contrary,විරුද්ධ "
"contrast,ප්‍රභේදනය "
"contravene,උල්ලංඝනය කරනවා "
"contravention,නීති උල්ලංඝනය කිරීම "
"contretemps,අවාසනාවන්ත සිද්ධිය "
"contribute,ආධාර දෙනවා "
"contributing,දායක වන "
"contribution,ආධාරය "
"contributive,ආධාර වන "
"contributor,දායකයා "
"contributories,දායක වූවෝ "
"contributory,ආධාරවන "
"contrite,වරදක් කළේ යැයි පසුතැවිලි වන "
"contrition,පසුතැවිල්ල "
"contrivance,යාන්ත්‍රික උපකරණයක් වැනි සෑදූ යමක් "
"contrive,උපක්‍රම යොදනවා "
"contrived,අස්වාභාවික ලෙස පෙනෙන "
"control,පාලනය කිරීමේ බලය "
"controllability,පාලනය කල හැකි"
"controllable,පාලනය කළ හැකි"
"controlled,පාලිත"
"controller,පාලකයා "
"controlling,පාලනය කරන "
"controls,පාලක "
"controversial,මතභේදකාරී "
"controversy,මතභේදය "
"controvert,වාද කරනවා "
"contumacious,අකීකරු "
"contumaciously,අකීකරු ලෙස"
"contumacy,අකීකරුකම "
"contumelious,අහංකාර "
"contumely,හෙළා දැකීම "
"contuse,සිරුර තළනවා "
"contusion,තැලීමෙන් තුවාල වනවා "
"conundrum,ප්‍රහේලිකාව "
"conurbation,නගරයාය "
"convalesce,ලෙඩකින් හෝ ප්‍රතිකාරයෙන් පසු යළිත් සුවය සදා ගන්නවා "
"convalescence,ක්‍රමයෙන් සුවපත් වීම "
"convalescent,රෝග සුව වන "
"convection current,සංවහන ධාරාව"
"convection,සංවහනය"
"convectional,සංවහන"
"convective,සංවාහී"
"convector,සංවාහකය"
"convene,කැඳවනවා "
"convener,කැඳවුම්කරුවා"
"convenience,පහසුව "
"convenient,පහසු "
"conveniently,පහසුවෙන්"
"convenor,කැඳවුම්කරුවා"
"convent,කන්‍යාරාමය "
"conventicle,විරුද්ධ මත ධාරීන්ගේ රහස් ආගමික රැස්වීමක් "
"convention,පොදු සම්මුතිය "
"conventional,චාර්ත්‍රානුකූල "
"conventionalism,සම්මුතිවාදය"
"conventionalist,ගතානුගතිකයා "
"conventionally,සම්ප්‍රදායිකව"
"converge,එක තැනකට එකතු වෙනවා "
"convergence,අභිසරණය "
"convergent,අභිසරණය වන "
"converging,අභිසරණය වන"
"conversant,පළපුරුදු "
"conversation,කතාබහ "
"conversational,භාෂණය හා සම්බන්ධ "
"conversationalist,කතා බහෙහි දක්ෂයා "
"conversazione,කලාව හෝ සාහිත්‍ය හෝ පිළිබඳ සාකච්ඡා කිරීම පිණිස තබන රැස්වීම "
"converse,ප්‍රතිවිරුද්ධ "
"conversely,අනෙක් අතට "
"conversion,පරිවර්තනය "
"convert,පරිවර්තනය කරනවා "
"converter,පරිවර්තකයා "
"converter,පරිවර්තකයා "
"convertibility,පරිවර්ත්‍යතාව"
"convertible,මාරු කළ හැකි "
"converting,මාරු කරන "
"convertor,පරිවර්තකයා "
"convex,උත්තල "
"convexity,උත්තලතාව "
"convey,ගෙන යනවා "
"conveyance,ප්‍රවාහනය "
"conveyancer,ඔප්පු ලියන්නා "
"conveyancing,ඔප්පු ලිවීම"
"conveyer,ගෙනයන්නා "
"conveyor,ගෙනයන්නා "
"convict,වැරදිකරු කරනවා "
"convicted,වැරදිකරු කළ "
"conviction,වරදකරු කිරීම "
"convince,ඒත්තු ගන්වනවා "
"convinced,දැඩිව ඒත්තු ගැන්වූ "
"convincement,ඒත්තු ගැන්වීම"
"convincible,ඒත්තු ගැන්විය හැකි"
"convincing,ඒත්තු ගැන්වෙන "
"convincingly,ඒත්තු යන ලෙස "
"convivial,ප්‍රසන්න "
"conviviality,උත්සවශ්‍රීය"
"convivially,සුහදව "
"convocation,උපාධි ප්‍රදානෝත්සවය "
"convoke,කැඳවනවා "
"convolute,දඟර ගසනවා "
"convoluted,දඟරගැසුණු "
"convolution,දඟර වීම "
"convolutions,දඟර"
"convolve,එකට පෙරළනවා "
"convoy,ආරක්ෂාව යට‍තේ යන නැව් හා වාහන කණ්ඩායම "
"convulse,වලිප්පුවෙන් පෙළෙනවා "
"convulsion,වලිප්පුව "
"convulsive,වලිප්පුව ලක්ෂණ කොටගෙන ඇති "
"cony,රට හාවා"
"coo,පරෙවියෙකුගේ වැනි හඬක් "
"cooing,ආදර බස් දෙඩුම "
"cook,කෑම පිසිනවා "
"cooked,පිසූ"
"cooker,උඳුන "
"cookery,සූප ශාස්ත්‍රය"
"cookie,කුඩා විස්කෝතු"
"cooking,ඉවුම "
"cool,නිවුණු "
"cool,සිසිල් "
"coolant,ශීතකය "
"cooler,සිසිල්කරණය "
"coolie,‍කුලීකාරයා"
"cooling,සීතනය "
"coolly,කලබල නැතිව"
"coolness,සිසිල් බව "
"coon,රැකුනා "
"coop,කුකුළු කූඩුව "
"cooper,පීප්ප සාදන්නා "
"cooperage,පීප්ප වැඩ පොළ"
"cooperate,එකමුතුව ක්‍රියා කරනවා "
"cooperate,සහයෝගිව ක්‍රියා කරනවා"
"cooperation,එකමුතුකම "
"cooperation,සහයෝගයෙන් වැඩ කිරීම "
"cooperative,සමූපකාර "
"cooperative,සහයෝගී "
"cooperator,සමූපකාර සමිතියක සාමාජිකයා "
"cooptation,සංවරණය "
"coordinate,එක සමාන "
"coordinate,සමායෝජනය කරනවා "
"coordinates,ඛණ්ඩාංක"
"coordinates,ඛණ්ඩාංක"
"coordinating,සම්බන්ධ කරන"
"coordination,සංවිධානය "
"coordination,සමායෝජනය "
"coordinator,සම්බන්ධිකාරකයා "
"coot,උතුරු ඇමරිකාවේ සහ යුරෝපයේ වෙසෙන තද අළු පැහැති ජලජ පක්ෂියෙක් "
"cop,පොලිස් නිලධාරියා "
"copal,වාර්නිෂ් සෑදීමට යොදන ද්‍රව්‍යයක්"
"coparcener,නොබෙදූ දේපළේ හවුල් උරුමකරු"
"copartner,හවුල්කාරයා "
"cope,උත්සවයක දී හෝ පෙරහරකදී දේවගැතියෙකු හෝ බිෂොප් කෙනෙකු අඳින පිට ලෝගුව "
"copier,පිටපත්කරණය "
"coping-saw,ඩී හැඩයේ කියත"
"coping-stone,තාප්පයක මුදුන් ගල "
"coping,තාප්පයක මුදුන් බැඳීම "
"copious,බහුල "
"coplanar,ඒකතල"
"copper-belt,මධ්‍යම අප්‍රිකාවේ තඹ කනින ප්‍රදේශය"
"copper-plate,කැටයම් කැපීමට හා ලිවීමට ගන්නා මැදපු තඹ තහඩුව"
"copper,තඹ "
"copperhead,එක්සත් ජනපදයේ නැගෙනහිර හා මධ්‍යම කොටසේ වෙසෙන විෂකුරු පොළ‍ඟෙක්"
"coppering,තඹ ආලේප කිරීම "
"coppery,තඹ මිශ්‍ර"
"coppice,යටි වදුල "
"copra,කොප්පරා"
"coprocessor,පරිගණකවල ඇති අතිරේක සකසනය"
"coprolite,කොප්‍රොලයිට් "
"coprophagous,මලභක්ෂක"
"copse,යටි වදුල "
"copula,ක්‍රියා සන්ධානය "
"copulate,සංසර්ගයෙහි යෙදෙනවා "
"copulation,මෛථුනය "
"copulative,ඈඳන "
"copy-cat,අනුන්ගෙන් පිටපත් කර ගන්නා "
"copy-desk,ප්‍රවෘත්ති කාර්යයාලයක පිටපත් ප්‍රකාශනය සඳහා සූදානම් කරන අංශය"
"copy-right,කර්තෘ හිමිකම "
"copy-typist,පිටපත් යතුරු ලේඛකයා"
"copy-writer,වෙළඳ දැන්වීම් ආදියට පිටපත් ලියන්නා "
"copy,පිටපත "
"copyhold,බ්‍රිතාන්‍යයේ පවතින ලියවිල්ලක් සහිත ඉඩම් බුක්තිය "
"copying,පිටපත් කරන "
"copyist,අත් පිටපත් ලියන්නා "
"copyright,කර්තෘ හිමිකම "
"coquetry,මුකුළු හැසිරීම "
"coquette,ප්‍රේම සල්ලාපයේ යෙදෙන්නී "
"coquettish,අඟර දඟර පාන "
"coracle,කුඩා ඔරුවක්"
"coral reef,හිරිගල් පරය "
"coral,හුණුගල් "
"coralline,කොරල්ලීන "
"coralloid,කොරල් හැඩැති "
"corbel plate,පේකඩ ලීය"
"corbel stone,පේකඩ ගල"
"corbel,පේකඩය "
"corbelling,පේකඩ යෙදුම"
"cord,රැහැන "
"cordage,නැව්වල යොත් කැරැල්ල "
"corded,රැහැන්වලින් බැඳුනු"
"cordial,සුහද "
"cordiality,සුහද බව "
"cordierite,ඛනිජ ද්‍රව්‍යයක් "
"cordite,කෝඩයිට් "
"cordon,වට ඇවුරුම "
"corduroy,නාරටි සහිත ගොරෝසු කපු රෙද්දක් "
"core memory,හර මතකය "
"core time,විචල්‍ය සේවා කාල පද්ධතියක් ඇති සේවා ස්ථානයක සේවකයන් අනිවාර්යයෙන්ම රැඳී සිටිය යුතු වේලාව"
"core,මදය "
"cored,හරවත්"
"coreless,මැද රහිත "
"coreligionist,සමාන භක්තිකයා "
"corer,හර ඇදුම් කටුව "
"corespondent,දික්කාද නඩුවක වගඋත්තර කරුවා"
"corgi,සුනඛ විශේෂයක්"
"coriaceous,සම්වල ස්වභාවය දනවන "
"coriander,කොත්තමල්ලි "
"corium,සමෙහි ඇති අභ්‍යන්තර ස්තරයක් "
"cork-screw,කස්කුරුප්පුව"
"cork,කිරල මූඩිය "
"corkage,පිටින් ගෙනෙන බීම පාවිච්චිය සඳහා හෝටලයක් අයකරන ගාස්තු "
"corked,ඇබ ගැසූ"
"corker,ඇබ ගසන්නා "
"corking,ඉතා හොඳ "
"corkscrew,කස්කුරුප්පුව"
"corky,කුල්මතව සිටින "
"corm,කෝමය"
"cormorant,විශාල මුහුදු ලිහිණියා "
"corn-cob,ඉරිඟු කරලේ මැද "
"corn-crake,කුරුලු විශේෂයක්"
"corn-field,ඉරිඟු කෙත"
"corn-flakes,ඉරිඟු පොරි "
"corn-flour,ඉරිඟු පිටි"
"corn-flower,වල් පැලෑටියක්"
"corn,බඩ ඉරිඟු "
"cornea,කනීනිකාව "
"corned,ලුණු දැමූ"
"cornel,තද ලී ඇති ගස් වර්ගයක්"
"cornelian,ළා රතු පැහැය "
"corneous,අංවලින් තනපු "
"corner,කොණ "
"cornerstone,මුල් ගල "
"cornet,කුඩා හොරණෑව "
"cornflakes,ඉරිඟු පොර"
"cornflour,ඉරිඟු පිටි"
"cornice,සීලිමට පහළින් බිත්තියේ විසිතුරු ලී ස්ථරය "
"cornucopia,සශ්‍රීකත්වයේ සංකේතය "
"corny,යල් පිනූ "
"corolla,මලක දළ "
"corollary,උපප්‍රමේය "
"corona,රැස් වළල්ල "
"coronagraph,හිරු මඬල නිරීක්ෂණය කළ හැකි වන සේ සූර්යයාගේ ආලෝකය අවුරන උපකරණය"
"coronary,හෘදයට රුධිරය සපයන ධමනිවලට අදාළ වූ "
"coronate,කිරීටධර "
"coronation,ඔටුනු පැළඳීම "
"coroner,මරණ පරීක්ෂකයා "
"coronet,කුඩා ඔටුන්න "
"corporal,සාජන්ට පහළ හමුදා නිලධාරියා "
"corporate,සංස්ථාමය "
"corporation,සංස්ථාව "
"corporeal,කායික "
"corporeality,ශාරීරික "
"corps,සේනාංකය "
"corpse,මෘතශරීරය "
"corpulence,තරබාරු බව "
"corpulent,තරබාරු "
"corpus,ගත "
"corpuscle,කුඩා දේහය "
"corral,ඇමරිකාවේ සත්ත්ව ගාල "
"correct,සත්‍ය "
"corrected,සංශෝධිත "
"correction,නිවැරදි කිරීම "
"correctitude,නිරවද්‍යතාව "
"corrective,නිවැරදි කරන "
"correctly,නිවැරදිව "
"correctness,නිරවද්‍යතාව "
"corrector,නිවැරදිකරණය "
"correlate,සහ සම්බන්ධ කරනවා "
"correlated,අන්‍යෝන්‍ය වශයනේ සම්බන්ධ"
"correlation,සහසම්බන්ධය "
"correlative,සහසම්බන්ධී "
"correlatives,සහසම්බන්ධක"
"correspond,සමරූපී වනවා "
"correspondence college,තැපැල් මාර්ගික විද්‍යාලයය"
"correspondence column,ලියුම් තීරුව"
"correspondence course,තැපැල් මාර්ගික අධ්‍යයනය"
"correspondence,අනුරූපතාව "
"correspondent,පුවත්පතකට ලියුම් ලියන්නා "
"corresponding member,ගරු සාමාජිකයා"
"corresponding,අනුරූප "
"corridor,කොරිඩෝරය "
"corrigenda,පොතක සංශෝධනය කළ යුත්ත "
"corrigendum,පොතක සංශෝධනය කළ යුත්ත "
"corrigible,නිවරද කළ හැකි "
"corroborate,සනාථ කරනවා "
"corroboration,සනාථය "
"corroborative,සනාථ කරන "
"corroboree,ඕස්ට්‍රේලියාවේ ආදි කල්පික නැටුමක් "
"corrode,රසායනික ක්‍රියා ආදියෙන් ක්ෂය වනවා "
"corrosion-proof,විඛාදන සාධකය"
"corrosion,දිරාපත් වීම "
"corrosive,දිරාපත් වන සුලු "
"corrugate,රැලි ගසනවා "
"corrugated,රැලි ගැසුණු"
"corrugation,පීලි සහිත වීම "
"corrupt practices,දූෂණ ක්‍රියා"
"corrupt,දූෂිත "
"corruptible,අල්ලස් ගන්නා "
"corruption,දූෂිත වීම "
"corsage,ගැහැනියක් පළඳන කුඩා මල් පොකුර "
"corsair,කොල්ලකාර නැව "
"corset,ගැහැනුන් හිරට අඳින යට ඇඳුම "
"cortege,අවමඟුල් පෙරහැර "
"cortex,ගසේ පොත්ත "
"cortical,පොත්තක් ඇති "
"cortication,බාහිකභවනය "
"cortisone,ඖෂධීය හෝමෝනයක් "
"corundum,තද ඛනිජ වර්ගයක් "
"coruscate,දිලිසෙනවා"
"coruscation,දිස්නය "
"corvette,සබ්මරින් නැව් වැනසීමට යොදන ශීඝ්‍රවේග ඇති කුඩා යුද නැවක්"
"cosecant,කෝසීකනය"
"cosignatory,තවත් අයෙකු සමඟ අත්සන් කරනවා "
"cosine,කෝසයිනය "
"cosiness,උණුසුම් බව"
"cosmetic,මුහුණ අලංකාරයට යොදන "
"cosmetically,රූපලාවන්‍ය ලෙස "
"cosmetician,රූපලාවන්‍ය වෙළෙන්දා"
"cosmetics,රූපලාවන්‍ය ද්‍රව්‍ය "
"cosmetology,විලේපන වේදය"
"cosmic ray,අන්තරීක්ෂ කිරණ"
"cosmic,විශ්වීය "
"cosmical,විශ්වීය "
"cosmogony,විශ්ව සම්භව වාදය "
"cosmology,අජටාකාශ විද්‍යාව "
"cosmonaut,අභ්‍යවකාශගාමියා"
"cosmopolitan,විශ්වසාධාරණ "
"cosmopolitanism,විශ්වසාධාරණත්වය"
"cosmos,විශ්වය "
"cosmotron,කොස්මොට්‍රෝනය "
"cossack,රුසියාවේ නමගිය අශ්වාරෝහකයෝ"
"cosset,සුරතල් කරනවා "
"cost-price,ගත් මිල"
"cost,අගය "
"costal,ඉළ ඇට සම්බන්ධ "
"costar,සහාය නළුවා හෝ නිළිය"
"costing,පිරිවැය ඇස්තමේන්තුව"
"costive,මලබද්ධ "
"costliness,මිල අධික බව"
"costly,මිල අධික "
"costs,වියදම් "
"costume,විශේෂ ඇඳුම් කට්ටලය"
"costumer,ඇඳුම් පැළඳුම් තනන්නා හෝ සපයන්නා"
"costumier,ඇඳුම් පැළඳුම් තනන්නා හෝ සපයන්නා"
"costuming,වෙස් ද්‍රව්‍යය "
"cosy,සුවපහසු හා උණුසුම් සහිත "
"cot,කුඩා ඇඳ "
"cotangent,කෝටැංජනය "
"cotangent,කෝටැංජනය "
"cote,මඩු‍ව "
"coterie,කාණ්ඩය "
"coterminous,එකම තීරයක් පැවතීම හා සම වර්ගඵලයක් ආවරණය කිරීම"
"cottage,කුඩා ගෙය "
"cottager,ගැමි නිවැසියා"
"cottar,කීලය "
"cotter,කීලය"
"cotton-flake,කපු රැල්"
"cotton-thread,කපු නූල"
"cotton,කපු "
"cotyledon,බීජ පියල්ල "
"couch,කවිච්චිය "
"couchant,වකුටු වූ"
"couchette,මිරිය මැදිරි ඇඳ "
"cougar,පූමා "
"cough,කහිනවා "
"coughing,කැස්ස"
"could,පුළුවන් වුණා"
"coulee,වියලී ගිය කඳුර "
"coulisse,මත්ත වාරණිය "
"coulomb,කූලෝමය "
"coulometer,කූලෝමීටරය"
"council-chamber,මන්ත්‍රණ සභාශාලාව"
"council,කවුන්සලය "
"councillor,මන්ත්‍රණ සභික "
"councilor,මන්ත්‍රණ සභික "
"councils,විධායක සභා"
"counsel,උපදේශය "
"counselling,අනුශාසනය "
"counsellor,අනුශාසක "
"count-book,ගිණුම්පොත"
"count,ගණන් කරනවා "
"countability,ගණන් කළ හැකි බව"
"countable,ගණන් කළ හැකි "
"countdown,අවරෝහණ ගණන් කිරීම"
"countenance,මුහුණ "
"counter-attack,ප්‍රතිප්‍රහාරය "
"counter-attraction,ප්‍රත්‍යාකර්ෂණය"
"counter-balance,සමබර කරනවා "
"counter-blast,පහරට පහර "
"counter-charge,පහරට පහර "
"counter-clock-wise,වාමාවර්ත"
"counter-clockwise,වාමාවර්ත"
"counter-culture,ප්‍රති සංස්කෘතිය "
"counter-current,ප්‍රතිප්‍රවාහය"
"counter-curse,ප්‍රතිශාපය"
"counter-example,ප්‍රතිවිරුද්ධ නිදර්ශනය"
"counter-foil,උපපත්‍රිකාව"
"counter-irritant,අනුඋද්දීපකය"
"counter-march,ආපසු ගමන් කරනවා"
"counter-melody,ප්‍රතිස්වරන්‍යාසය"
"counter-offer,ප්‍රත්‍යර්පණය"
"counter-part,ප්‍රතිරූපය "
"counter-plot,ප්‍රති කථා වස්තුව"
"counter-point,ප්‍රතිසංවාදය "
"counter-pressure,ප්‍රති පීඩනය"
"counter-productive,අපේක්ෂිත ප්‍රතිඵලයට විරුද්ධ ප්‍රතිඵලයක් දෙන"
"counter-reformation,ප්‍රතිවිරුද්ධ ප්‍රතිසංස්කරණය "
"counter-shaft,යන්ත්‍ර"
"counter-sign,අනුඅත්සන් යොදනවා"
"counter,කවුන්ටරය "
"counteract,බාධා කරනවා "
"countercheck,යමකට විරුද්ධ වැළකුම "
"counterclaim,ප්‍රතියාචනය "
"counterfeit,ව්‍යාජ ලියවිලි හා කාසි ආදිය "
"counterfoil,උපපත්‍රිකාව"
"countermand,කලින් දුන් අණ අවලංගු කරනවා "
"counterpane,ඇඳ ඇතිරිල්ල"
"counterpart,ප්‍රතිරූපය "
"counterparts,ප්‍රතිපූරණ"
"counterplea,ප්‍රත්‍යුත්තරය"
"counterpoise,ප්‍රති තෝලකය "
"counterproof,පිළිපත"
"countersign,අනු අත්සන් යොදනවා"
"countersigning,පිළිහස් තැබීම"
"countersink,සපරම "
"countervail,ප්‍රතිතුලනය කරනවා "
"counterweight,ප්‍රතිතෝලකයක් ලෙස භාවිත බර"
"countess,ආදිපාද දේවිය"
"counting,ගණන "
"countless,ගිණිය නොහැකි "
"countrified,පිටිසර"
"country side,ගම්බද පෙදෙස "
"country-side,ගම්බද පෙදෙස "
"country,රට "
"countryman,ගම්වැසියා "
"countryside,ගම්බද පෙදෙස "
"counts,ගණන් කිරීම් "
"county,ප්‍රාන්තය "
"coup de main,හදිසි අනපේක්ෂිත පහර"
"coup-de-theatre,නාට්‍යයක උද්වේගකර අවස්ථාවක් හෝ සිදුවීම්වල පෙරළියක්"
"coup,කුමන්ත්‍රණය කර බලය අල්ලා ගැනීම"
"coupe,නොගැඹුරු වීදුරුව හෝ දීසිය "
"couple,ජෝඩුව "
"coupled,පූට්ටු කළ"
"coupler,ඈඳනය"
"couplet,දෙපද කවිය"
"coupling,අනුයෝගය "
"coupling,ඈඳිය "
"coupon,කුවිතාන්සිය "
"courage,ධෛර්යය "
"courageous,එඩිතර "
"courageously,අභීතව "
"courgette,හරිත වර්ණ එළවළුවක්"
"courier,දූතයා "
"course,ක්‍රියා මාර්ගය "
"course,මාර්ගය "
"courser,දඩයක්කාරයා "
"coursing,දඩයම් කිරීම"
"court house,විනිශ්චය ශාලාව "
"court-house,විනිශ්චය ශාලාව "
"court-martial,යුද්ධාධිකරණය"
"court,උසාවිය "
"courteous,ආචාරසම්පන්න "
"courtesan,අබිසරුලිය "
"courtesy light,දොර විවර කරන විට දැල්වෙන විදුලි බුබුල"
"courtesy,ආචාරශීලිත්වය "
"courthouse,විනිශ්චය ශාලාව "
"courtier,රාජ සභිකයා "
"courting,යමක් ලබා ගැනීමට උත්සාහ කිරීම "
"courtly,සභ්‍ය "
"courtship,විවාහ අපේක්ෂාවෙන් කරන ඇසුර "
"courtyard,අංගණය "
"couscous,උතුරු අප්‍රිකානු ආහාරයක්"
"cousin,ඥාති සහෝදරයා "
"couture,ඇඳුම් මෝස්තර නිර්මාණය "
"covalence,සහසංයුජතාව "
"covariance,සහවිචලතාව"
"covariant,සහවිචලනය"
"covariation,සහවිචලනය"
"cove,කුඩා වරාය "
"covenant,ප්‍රඥප්තිය "
"cover-cloth,කඩවැස්ම"
"cover-up,සිදු වූවක් සැඟවීම"
"cover,ආවරණය "
"coverage,ආවරණ පථය "
"covered,ආවෘත "
"covering,වැස්ම "
"coverlet,ඇඳ ඇතිරිල්ල"
"coversine,විපරි කෝසයිනය"
"covert,අබිරහස් "
"covertly,ආවෘත ලෙස"
"covet,තදින් ආශා කරනවා "
"covetous,ආශා කරන "
"covetousness,අභිලාෂය "
"covey,කුරුලු රංචුව "
"cow-boy,ගොපල්ලා "
"cow-catcher,බාධා නිවාරකය"
"cow-dung,ගොම"
"cow-herd,එඬේරා "
"cow-hide,හරක් හම"
"cow-house,ගව මඩුව"
"cow-lick,නළලට මතට වැටෙන කෙස් රොද"
"cow-pox,ගව වසූරිය"
"cow-slip,පැළෑටි වර්ගයක්"
"cow-stable,ගව මඩුව"
"cow-stall,ගව මඩුව"
"cow,එළදෙන "
"coward,බියගුල්ලා "
"cowardice,බියසුලුකම"
"cowardliness,බියසුලුකම"
"cowardly,බියගුලු "
"cowbell,ගවයාගේ ගෙල බඳින සීනුව"
